;name;average_sentiment;cat_detailed;cat_sites_reduced_more;average_age;average_way_travel;latitud;longitud;address;area;rating;user_age_encoded;way_travel_encoded;sentiment_encoded;destination_encoded;cat_sites_reduced_more_encoded
2121;Poble Espanyol;history_freak;historic_building;historic building, museums and archaeological rests;old;alone;41,3688085;2,1482732;Av. de Francesc Ferrer i Guàrdia, 13, 08038 Barcelona, España;Barcelona;4,2;2;0;4;5;1
2122;Plaça del Centre;relax;park;town, parks or lookouts;young;alone;41,381507;2,1356752;Plaça del Centre, 08014 Barcelona, España;Barcelona;4,284745763;0;0;2;5;2
2123;Base Nàutica (La);curious;seaside;food, music, seaside, sport and others;young;in couple;41,3967421;2,2097948;Av. del Litoral, s/n, 08005 Barcelona, España;Barcelona;4;0;1;3;5;8
2124;Plaça d'Urquinaona;relax;square;points of interest, like squares and sculptures;old;in couple;41,3892478;2,17281;Pl. d'Urquinaona, 08010 Barcelona, España;Barcelona;4,214285714;2;1;2;5;3
2125;Plaça de Lesseps;relax;square;points of interest, like squares and sculptures;young;in couple;41,4067781;2,1497259;Plaza de Lesseps, Barcelona, España;Barcelona;4,214285714;0;1;2;5;3
2126;DHUB Museu del Disseny de Barcelona;artsy;museum;historic building, museums and archaeological rests;adult;in couple;41,4024531;2,1880815;Pl. de les Glòries Catalanes, 37-38, 08018 Barcelona, España;Barcelona;4,4;1;1;0;5;1
2127;Turo Park;relax;park;town, parks or lookouts;old;in couple;41,3945509;2,1407144;Av. de Pau Casals, 19, 08021 Barcelona, España;Barcelona;4,3;2;1;2;5;2
2128;Cementeri de Poble Nou;history_freak;point_of_interest;points of interest, like squares and sculptures;adult;in couple;41,3951546;2,2017594;Av. d'Icària, 204, 08005 Barcelona, España;Barcelona;4,5;1;1;4;5;3
2129;Plaça d'en Joanic;curious;square;points of interest, like squares and sculptures;old;in couple;41,4052458;2,162359;Plaça d'En Joanic, 08024 Barcelona, España;Barcelona;4,214285714;2;1;3;5;3
2130;Teatre Tívoli;artsy;theater;experiences, cultural centers, theaters and music;adult;alone;41,3889275;2,1703653;C/ de Casp, 8, 08010 Barcelona, España;Barcelona;4,4;1;0;0;5;4
2131;Plaça d'Espanya;relax;square;points of interest, like squares and sculptures;adult;in groups;41,3750289;2,1491173;Plaza de España, 08004 Barcelona, España;Barcelona;4,214285714;1;2;2;5;3
2132;Port de Barcelona;relax;seaside;food, music, seaside, sport and others;young;in couple;41,3337439;2,1466083;Port de Barcelona, Barcelona, España;Barcelona;4,3;0;1;2;5;8
2133;Plaça George Orwell;relax;square;points of interest, like squares and sculptures;adult;in family;41,3807156;2,1771571;Plaça de George Orwell, 08002 Barcelona, España;Barcelona;4,214285714;1;3;2;5;3
2134;Plaça De La Revolució De Setembre Del 1868;relax;square;points of interest, like squares and sculptures;young;in couple;41,4026452;2,1581961;Plaça de la Revolució de Setembre del 1868, 08012 Barcelona, España;Barcelona;4,214285714;0;1;2;5;3
